IMDB ID,Total Revenue
tt0111102,"$86,115"
tt0108071,"$31,181,347"
tt0111127,"$7,820,688"
tt0111143,"$48,063,435"
tt0108101,"$25,842,377"
tt0108122,"$6,110,979"
tt0111194,"$3,430,583"
tt0111201,"$7,770,731"
tt0108149,"$6,405,918"
tt0108160,"$227,927,165"
tt0108162,"$116,300,000"
tt0083658,"$41,650,637"
tt0108186,"$36,448,400"
tt0108174,"$11,585,483"
tt0108238,"$24,107,867"
tt0089256,0
tt0108255,"$20,915,465"
tt0111323,"$7,727,256"
tt0111400,"$16,487,349"
tt0108328,"$1,319,521"
tt0111418,"$14,815,317"
tt0107688,"$91,426,676"
tt0108333,"$53,898,845"
tt0108358,"$56,505,065"
tt0111488,"$6,971,777"
tt0108399,"$13,092,264"
tt0108515,"$901,668"
tt0110763,"$13,670,688"
tt0107779,"$44,159"
tt0109226,"$73,956"
tt0110259,"$297,415"
tt0114906,"$4,569,019"
tt0107002,0
tt0109403,"$1,596,687"
tt0104029,"$621,392"
tt0110623,"$1,038,959"
tt0107315,"$2,019,581"
tt0106408,"$734,634"
tt0110363,"$12,267,790"
tt0107349,"$308,368"
tt0111709,0
tt0109828,0
tt0107225,"$1,113,435"
tt0111252,"$1,359,736"
tt0110366,"$67,308,282"
tt0106878,0
tt0109120,"$16,820,893"
tt0108059,"$147,107"
tt0110892,"$3,062,530"
tt0112651,"$1,400,591"
tt0107642,"$274,596"
tt0109382,"$51,050"
tt0106678,0
tt0112572,"$46,576,136"
tt0099785,"$477,063,114"
tt0099653,"$505,870,681"
tt0103639,"$504,050,219"
tt0103064,"$520,884,847"
tt0099348,"$424,208,848"
tt0114706,0
tt0096895,"$411,556,825"
tt0102926,"$272,753,884"
tt0029583,"$184,925,486"
tt0101414,"$440,118,382"
tt0032910,"$121,892,045"
tt0100405,"$463,407,409"
tt0110719,0
tt0065214,"$638,641"
tt0110395,"$35,200"
tt0111752,0
tt0109934,"$527,034"
tt0112606,"$12,096,673"
tt0117247,"$97,529,550"
tt0112625,"$13,940,383"
tt0106537,"$7,271"
tt0116282,"$60,611,975"
tt0116552,"$32,772,492"
tt0082509,"$546,545"
tt0116514,"$9,336,886"
tt0117283,"$5,656,388"
tt0116684,"$5,200,601"
tt0110374,"$44,231"
tt0070506,0
tt0065421,"$35,459,543"
tt0113083,"$1,104,622"
tt0118001,"$1,141,556"
tt0116165,"$4,422,380"
tt0102855,0
tt0107471,"$873,857"
tt0113839,"$14,286"
tt0112712,0
tt0090665,0
tt0117891,"$35,599,803"
tt0113613,"$459,749"
tt0117381,"$102,616,183"
tt0114305,0
tt0115837,"$290,978"
tt0115509,"$8,620,678"
tt0114671,"$228,800"
tt0112844,"$148,121"
tt0114658,0
tt0116275,"$10,125,417"
tt0113122,"$87,433"
tt0117608,"$37,956,793"
tt0113448,"$218,626"
tt0116414,"$4,939,939"
tt0116095,"$17,100,266"
tt0111543,"$722,182"
tt0117517,0
tt0117312,0
tt0116485,0
tt0113947,"$955,300"
tt0115956,"$100,860,818"
tt0117060,"$457,731,198"
tt0109028,0
tt0117071,"$3,486,957"
tt0117788,0
tt0112257,0
tt0116136,"$115,267,375"
tt0118026,0
tt0117117,0
tt0116168,"$31,387,164"
tt0111787,0
tt0112509,0
tt0054189,"$98,311"
tt0115591,"$69,081"
tt0116683,"$28,946,127"
tt0116287,"$20,831,000"
tt0116768,"$2,654,308"
tt0116269,"$2,104,439"
tt0114787,"$171,082"
tt0113720,"$13,128"
tt0112536,"$684,351"
tt0048473,"$135,342"
tt0052572,"$134,241"
tt0117128,"$1,007,306"
tt0114616,"$6,235"
tt0117705,"$230,418,342"
tt0062711,0
tt0110061,0
tt0140614,0
tt0108181,0
tt0114307,0
tt0058898,"$47,696"
tt0082206,0
tt0111430,0
tt0107727,0
tt0081759,"$2,128,395"
tt0113443,"$622,503"
tt0109491,0
tt0114048,"$24,670,346"
tt0111613,0
tt0117104,"$10,082,005"
tt0117688,"$5,107,669"
tt0109751,"$53,532"
tt0117774,"$14,818,176"
tt0114736,0
tt0112604,"$87,626"
tt0116289,"$3,124,440"
tt0109593,"$63,174"
tt0103095,0
tt0112368,"$4,821,759"
tt0104046,0
tt0062952,0
tt0115742,"$516,349"
tt0117420,"$57,400,547"
tt0115951,"$35,489"
tt0117784,"$10,163,782"
tt0117107,"$11,526,099"
tt0117979,"$34,861,807"
tt0095776,"$74,151,346"
tt0115851,"$9,255,027"
tt0116322,"$20,080,020"
tt0109374,0
tt0110712,"$1,181,182"
tt0112817,"$1,037,847"
tt0113362,"$1,320,043"
tt0073778,"$51,264"
tt0112546,0
tt0108500,"$659,810"
tt0117108,"$21,075,014"
tt0113270,0
tt0333373,0
tt0115963,"$24,819,936"
tt0116448,"$8,008,255"
tt0116827,"$5,939,449"
tt0114894,0
tt0112701,"$5,682,429"
tt0113429,0
tt0116508,"$5,009,305"
tt0117260,"$3,718,087"
tt0117500,"$335,062,621"
tt0116405,"$197,322"
tt0109592,"$253,986"
tt0117998,"$494,471,524"
tt0115624,"$3,793,614"
tt0113145,0
tt0116559,0
tt0113568,"$515,905"
tt0117894,"$15,315,484"
tt0117723,"$26,960,191"
tt0112586,"$8,000"
tt0112691,"$112,175"
tt0040366,0
tt0117768,"$2,491,989"
tt0115571,"$14,063,331"
tt0031612,0
tt0057012,"$9,443,876"
tt0103926,0
tt0105737,0
tt0113849,"$2,101,087"
tt0113188,"$6,029,091"
tt0042644,0
tt0109381,"$14,528"
tt0109688,"$1,977,198"
tt0104606,0
tt0110480,"$62,186"
tt0108211,"$152,972"
tt0117331,"$17,323,326"
tt0117765,"$113,309,743"
tt0116833,"$7,682"
tt0113280,"$941,414"
tt0116669,"$58,620,973"
tt0116594,"$1,875,527"
tt0113211,"$559,771"
tt0114494,0
tt0094265,0
tt0105201,0
tt0070820,0
